Run ID,Time,Step Number,BCl3 Flow,Cl2 Flow,RF Btm Pwr,RF Btm Rfl Pwr,Endpt A,He Press,Pressure,RF Tuner,RF Load,RF Phase Err,RF Pwr,RF Impedance,TCP Tuner,TCP Phase Err,TCP Impedance,TCP Top Pwr,TCP Rfl Pwr,TCP Load,Vat Valve
2901,10.379,4,752,752,131,0,643,101,1230,9431,9029,-250,25,16663,20024,56,16552,346,0,27626,49
2901,11.946,4,751,753,132,0,626,100,1227,9408,9019,-362,26,16599,20028,-296,16848,360,0,27594,49
2901,13.028,4,751,753,134,0,620,99,1229,9431,9029,-1455,26,16568,20042,-676,16796,350,0,27440,49
2901,14.049,4,751,755,134,0,599,102,1221,9389,9114,-1056,25,16442,20146,-291,16512,344,0,27276,49
2901,15.133,4,751,753,133,0,586,100,1201,9445,9031,-587,25,16960,20148,-262,17020,352,0,27330,50
2901,16.139,4,751,754,132,0,587,102,1182,9456,9043,-124,25,16564,20226,-547,16440,346,0,27262,50
2901,17.159,4,751,753,134,0,1284,101,1144,9406,9086,-417,25,16437,19478,1738,17366,350,1,28178,49
2901,18.258,4,751,753,132,0,1627,100,1171,9405,9091,-1661,26,16352,19544,-13,16130,346,1,27560,48
2901,19.309,4,751,753,134,0,1624,101,1194,9421,9066,-1189,25,16341,19590,452,16428,354,0,27974,48
2901,20.42,4,751,753,135,1,1457,100,1198,9384,9144,1343,24,16642,19416,-455,16964,356,0,27906,48
2901,21.449,4,751,754,135,0,1338,102,1194,9410,9009,-1016,25,16257,19614,1158,16350,354,0,27750,49
2901,22.469,4,751,753,134,0,1503,100,1171,9424,9056,-1807,25,16494,19452,1234,17038,343,0,27892,49
2901,23.558,4,751,754,134,0,1519,101,1192,9386,9097,-1027,25,16422,19438,136,16234,358,0,27890,48
2901,24.649,4,751,753,133,0,1533,101,1185,9461,9045,42,24,16623,19424,-278,16724,354,0,27838,49
2901,25.669,4,751,753,139,0,1535,99,1186,9412,9077,-1584,25,16730,19448,87,16852,346,0,27856,49
2901,26.689,4,752,753,136,0,1545,101,1186,9432,9091,-920,25,16535,19468,-307,16690,343,0,27856,49
2901,27.715,4,751,753,133,0,1565,100,1187,9413,9070,-356,25,16424,19464,-42,16708,349,1,27850,49
2901,28.737,4,751,753,132,0,1580,100,1187,9396,9069,-452,25,16484,19478,194,16566,348,0,27862,49
2901,29.861,4,752,754,136,0,1592,101,1187,9431,9097,-1423,24,16701,19454,89,15744,358,1,27858,49
2901,30.834,4,752,753,135,0,1599,100,1184,9407,9071,-931,24,16539,19360,692,16184,353,0,27866,49
2901,31.853,4,752,753,141,0,1607,100,1184,9383,9136,-1194,24,16532,19360,129,16856,351,0,27898,49
2901,32.883,4,752,753,133,0,1602,101,1185,9399,9044,-832,24,16781,19372,498,16474,353,1,27900,49
2901,33.909,4,752,753,133,0,1611,101,1186,9444,9032,-706,24,16564,19358,129,16764,357,0,27920,49
2901,34.929,4,752,753,136,0,1611,101,1187,9373,9072,-808,24,16474,19396,144,16858,349,1,27898,49
2901,35.958,4,751,752,133,0,1606,101,1189,9387,9057,-330,24,16164,19380,504,16182,345,1,27966,49
2901,36.988,4,751,753,134,0,1610,101,1187,9400,9085,-892,24,16253,19350,146,16536,348,0,27938,49
2901,38.008,4,752,754,131,0,1602,101,1185,9368,9122,-1270,23,16681,19372,86,16214,354,0,27930,49
2901,39.109,4,752,753,132,0,1612,101,1187,9441,9073,-1062,24,16430,19388,58,16768,358,0,27908,49
2901,40.129,4,751,754,134,0,1608,101,1186,9369,9090,-2202,24,16445,19382,-11,16394,347,0,27832,49
2901,41.149,4,751,753,132,0,1611,101,1186,9461,9105,-1077,24,16288,19354,-61,16298,354,0,28012,49
2901,42.169,4,751,754,135,0,1612,99,1186,9431,9039,-1294,24,16115,19344,118,16804,349,0,27914,49
2901,43.189,4,751,754,134,0,1621,100,1187,9380,9050,-1457,23,16574,19350,612,17028,347,0,27866,49
2901,44.209,4,752,753,134,0,1619,101,1186,9427,9063,-1023,24,16233,19368,-289,16558,348,0,27838,49
2901,45.238,4,752,753,133,0,1613,101,1186,9435,9036,-921,24,16381,19372,-64,16628,351,0,27778,49
2901,46.336,4,752,752,136,0,1613,101,1186,9398,9111,-1200,24,16567,19348,120,16460,349,0,27864,49
2901,47.349,4,751,753,133,0,1614,102,1186,9396,9087,-1331,24,16344,19332,-94,16690,360,0,27850,49
2901,48.369,4,752,753,130,0,1616,100,1185,9447,9075,-1850,24,16600,19358,5,16632,354,0,27908,49
2901,49.451,4,751,753,133,0,1616,100,1185,9430,9051,-183,24,16661,19360,-326,16972,345,1,27838,49
2901,50.478,4,752,753,136,0,1619,100,1187,9471,9045,-1261,24,16493,19328,30,15852,353,1,27880,49
2901,51.589,4,752,754,133,0,1616,100,1186,9398,9059,-1594,23,16236,19362,145,16412,343,0,28014,49
2901,52.609,4,752,753,134,0,1618,101,1187,9483,9030,-1297,24,16593,19334,-259,16842,347,0,27884,49
2901,53.728,4,752,753,133,0,1620,101,1185,9421,9052,-463,24,16344,19352,44,16874,348,0,27954,49
2901,54.82,4,751,751,134,0,1618,100,1186,9374,9081,-1443,24,16447,19352,72,16454,350,1,28012,49
2901,55.844,4,752,754,134,0,1611,101,1185,9408,9075,-1419,23,16584,19348,-439,16874,342,0,27890,49
