sample 0,sample 1,sample 2,sample 3,sample 4,sample 5,sample 6,sample 7,sample 8,sample 9,sample 10,sample 11,sample 12,sample 13,sample 14,sample 15,sample 16,sample 17,sample 18,sample 19,sample 20,sample 21,sample 22,sample 23,sample 24,sample 25,sample 26,sample 27,sample 28,sample 29,sample 30,sample 31,sample 32,sample 33,sample 34,sample 35,sample 36,sample 37,sample 38,sample 39
0.006111,0.000397,0.009697,0.036583,0.038986,-0.005424,0.016586,-0.053452,-0.087273,-0.026772,0.006119,-0.002907,-0.004593,0.021057,-0.025078,-0.012863,0.005531,-0.00946,-0.002647,-0.009163,0.047592,0.015755,0.068069,-0.048576,0.035736,-0.009827,0.017876,-0.042526,-0.017075,-0.010223,0.026009,0.002563,0.05603,-0.029137,-0.06765,-0.032471,-0.034195,0.034714,0.017365,-0.006432
-0.001358,-0.000763,0.001625,0.018661,0.043129,0.000694,0.005844,-0.060608,-0.07769,-0.027328,0.007133,-0.00425,0.001785,0.02314,-0.035835,-0.025848,0.001015,-0.014626,-0.016579,-0.023216,0.036278,0.012772,0.0606,-0.047424,0.02858,0.004646,0.01963,-0.035034,-0.019539,0.002228,0.015533,-0.000443,0.044777,-0.020027,-0.043953,-0.036079,-0.045647,0.032669,0.015312,-0.007423
-0.005249,-0.000732,-0.004837,-0.001152,0.045006,0.004112,-0.001457,-0.060043,-0.05986,-0.022682,0.00663,-0.004326,0.008469,0.022614,-0.047501,-0.037384,-0.004219,-0.014771,-0.027122,-0.035927,0.021011,0.010094,0.051186,-0.042191,0.015152,0.02005,0.019119,-0.0261,-0.016396,0.018654,0.004662,-4.58E-05,0.031799,-0.009644,-0.021225,-0.034225,-0.050377,0.031113,0.013374,-0.010323
-0.007401,0.00045,-0.013809,-0.022934,0.041985,0.008171,-0.009087,-0.054642,-0.033318,-0.012283,0.011223,-0.005699,0.015724,0.026527,-0.052803,-0.046593,-0.0093,-0.011665,-0.030632,-0.048851,0.010101,0.007324,0.038719,-0.034607,0.000816,0.032043,0.023476,-0.014282,-0.011696,0.036018,-0.005989,-0.000595,0.01548,0.006752,-0.005074,-0.028999,-0.050545,0.033539,0.009651,-0.012352
-0.015694,0.002838,-0.023544,-0.038025,0.029762,0.013458,-0.015625,-0.043938,-0.008141,-0.005386,0.014122,-0.010788,0.022148,0.031349,-0.051033,-0.052986,-0.015404,-0.00766,-0.033081,-0.057632,0.00338,0.002907,0.018661,-0.024635,-0.01207,0.040146,0.028442,-0.005043,-0.004753,0.046677,-0.016823,-0.007103,-0.000465,0.018272,0.015083,-0.021004,-0.047699,0.030281,0.004272,-0.012375
-0.025406,0.004158,-0.024864,-0.048477,0.014694,0.017731,-0.023666,-0.02803,0.013771,0.001228,0.016846,-0.01561,0.023567,0.034241,-0.047272,-0.055298,-0.021255,-0.001289,-0.038879,-0.053917,-0.004219,-0.001022,-0.002556,-0.011513,-0.025284,0.047043,0.025276,-0.001167,0.006844,0.05275,-0.026245,-0.017067,-0.015778,0.021278,0.038811,-0.013138,-0.042747,0.020889,-0.002716,-0.012192
-0.029831,0.005257,-0.019142,-0.05751,0.00071,0.020416,-0.032837,-0.012878,0.033768,0.005028,0.022858,-0.017944,0.020218,0.037689,-0.038086,-0.049126,-0.019638,0.006508,-0.042114,-0.04393,-0.012543,-0.007248,-0.021667,0.00071,-0.039017,0.048325,0.018761,0.006889,0.013824,0.052696,-0.028328,-0.025116,-0.032341,0.025894,0.055008,-0.004677,-0.035751,0.011497,-0.012978,-0.012146
-0.028999,0.008583,-0.012993,-0.060104,-0.013321,0.016739,-0.036926,0.001144,0.046799,-0.000458,0.025528,-0.020905,0.009056,0.037979,-0.019447,-0.037643,-0.010941,0.014862,-0.044144,-0.03537,-0.021393,-0.019493,-0.039925,0.008347,-0.052002,0.045181,0.007393,0.018394,0.013817,0.045479,-0.025925,-0.026924,-0.045166,0.031876,0.064461,0.007744,-0.023232,0.000931,-0.024437,-0.012329
-0.026367,0.007881,-0.006653,-0.055832,-0.025871,0.014534,-0.030006,0.015923,0.056152,-0.006691,0.025261,-0.025703,-0.005051,0.033882,0.003235,-0.029106,-0.003159,0.023552,-0.042999,-0.026024,-0.030197,-0.032898,-0.050415,0.015556,-0.061638,0.041214,-0.005966,0.026695,0.014717,0.036072,-0.021034,-0.027695,-0.0513,0.033905,0.068184,0.018044,-0.00457,-0.010712,-0.034004,-0.015007
-0.019424,0.000923,-0.003983,-0.04493,-0.029587,0.015884,-0.01741,0.029869,0.066536,-0.012123,0.028931,-0.025902,-0.017212,0.028625,0.026428,-0.017174,0.004349,0.026573,-0.031288,-0.012077,-0.034492,-0.040115,-0.053581,0.024467,-0.061226,0.031868,-0.018784,0.035713,0.015923,0.022758,-0.009186,-0.027985,-0.055283,0.037704,0.062073,0.021629,0.017548,-0.01693,-0.0382,-0.016495
