sample 0,sample 1,sample 2,sample 3,sample 4,sample 5,sample 6,sample 7,sample 8,sample 9,sample 10,sample 11,sample 12,sample 13,sample 14,sample 15,sample 16,sample 17,sample 18,sample 19,sample 20,sample 21,sample 22,sample 23,sample 24,sample 25,sample 26,sample 27,sample 28,sample 29,sample 30,sample 31,sample 32,sample 33,sample 34,sample 35,sample 36,sample 37,sample 38,sample 39
-0.015907,-0.031174,-0.034904,0.020454,-0.025955,0.018021,0.008072,-0.053146,-0.016098,0.068779,-0.023903,-0.009277,-0.011696,0.036812,0.030342,0.015877,0.032677,-0.046524,-0.013573,0.022537,-0.00676,0.040154,-0.005157,-0.029732,0.009659,-0.055588,-0.006638,0.015747,0.042793,-0.012741,0.032578,0.009789,0.028137,0.039291,-0.029022,-0.00296,0.026291,-0.022224,-0.002968,-0.014183
-0.00602,-0.033524,-0.042648,0.023308,-0.016457,0.006958,-0.001678,-0.064682,-0.011086,0.047302,-0.035866,-0.017876,-0.044479,0.044579,0.018227,-0.005524,0.029816,-0.052521,-0.013893,0.028473,0.007103,0.053268,-0.020432,-0.024025,0.016068,-0.041122,-0.007805,0.014343,0.059013,-0.010979,0.037125,0.004799,0.01519,0.032234,-0.027405,-0.014023,0.028313,-0.021904,0.005676,-0.011841
0.01194,-0.037903,-0.046555,0.030624,-0.004303,-0.006119,-0.007904,-0.074234,-0.004272,0.023514,-0.047394,-0.025444,-0.074532,0.049141,0.001694,-0.028755,0.027107,-0.056358,-0.012268,0.035156,0.023315,0.060989,-0.037743,-0.016808,0.019409,-0.026093,-0.005226,0.013023,0.065826,-0.006798,0.038887,0.006348,0.005142,0.026321,-0.018196,-0.027725,0.026352,-0.022202,0.006027,-0.00692
0.033958,-0.044403,-0.047394,0.040565,0.010445,-0.018433,-0.009842,-0.07888,-0.000313,0.000572,-0.051079,-0.030746,-0.095856,0.047348,-0.014381,-0.046944,0.022263,-0.048065,-0.008598,0.036606,0.041054,0.063477,-0.050743,-0.00209,0.024017,-0.008904,-0.008659,0.008202,0.061028,0.000481,0.033638,0.009331,-0.002808,0.019371,-0.009171,-0.040924,0.015114,-0.021317,0.004417,-0.001656
0.048943,-0.045471,-0.041222,0.046989,0.024857,-0.025925,-0.007965,-0.080315,-0.00135,-0.023781,-0.049011,-0.027855,-0.106552,0.039925,-0.024239,-0.064262,0.020088,-0.032944,-0.002357,0.035332,0.051361,0.065788,-0.058144,0.014977,0.026787,0.007034,-0.015434,-0.001633,0.051285,0.007416,0.024155,0.010765,-0.012108,0.009644,0.001015,-0.049728,0.005493,-0.017586,0.003792,0.005806
0.061089,-0.041206,-0.027061,0.048553,0.036644,-0.033028,-0.001694,-0.079361,-8.39E-05,-0.054085,-0.048523,-0.01992,-0.110619,0.033218,-0.032837,-0.082321,0.019493,-0.011696,0.004898,0.032188,0.057701,0.063637,-0.062439,0.026222,0.024117,0.018234,-0.020111,-0.008827,0.043442,0.012283,0.015419,0.011017,-0.016235,0.001358,0.011253,-0.054153,-0.004875,-0.015701,0.002167,0.012573
0.07045,-0.032074,-0.011238,0.048615,0.045654,-0.037224,0.001938,-0.069023,0.003448,-0.083275,-0.044914,-0.010452,-0.107773,0.02327,-0.038956,-0.09568,0.014664,0.007362,0.014153,0.019279,0.059639,0.057198,-0.059906,0.036392,0.019279,0.028313,-0.023788,-0.011703,0.038818,0.020248,0.00666,0.013756,-0.014793,-0.008438,0.017906,-0.053535,-0.015495,-0.016533,0.001854,0.016426
0.075523,-0.023437,0.00016,0.043053,0.051552,-0.036469,-0.001503,-0.055954,0.007301,-0.099419,-0.039909,-0.000107,-0.099937,0.006882,-0.038719,-0.103531,0.009834,0.019768,0.026344,0.00605,0.053505,0.045265,-0.0532,0.047417,0.011467,0.035316,-0.020714,-0.012276,0.032028,0.025139,0.000793,0.010765,-0.010979,-0.019745,0.024994,-0.048241,-0.022865,-0.014732,0.002464,0.016098
0.07209,-0.010269,0.008774,0.031975,0.052017,-0.036407,-0.006516,-0.041924,0.012161,-0.107574,-0.028992,0.009651,-0.085747,-0.008842,-0.036102,-0.104858,0.007355,0.028732,0.037384,-0.004997,0.04686,0.026192,-0.042801,0.055588,0.004807,0.039803,-0.012428,-0.010529,0.018356,0.025444,-0.004601,0.00267,-0.003372,-0.025002,0.035614,-0.042854,-0.031868,-0.011948,0.001541,0.010338
0.062927,0.006172,0.015793,0.023933,0.045883,-0.035797,-0.010033,-0.021164,0.014999,-0.112778,-0.013664,0.019798,-0.066994,-0.022141,-0.028816,-0.097603,0.001183,0.033417,0.045349,-0.016472,0.037766,0.008621,-0.029762,0.063248,0.000359,0.043243,-0.006859,-0.008858,0.004669,0.029228,-0.013535,-0.00647,0.006004,-0.031174,0.042892,-0.034363,-0.042107,-0.011299,-0.002853,0.005234
